ptaz,ataz,da,s2,s3,wt,dt,wk,bk
1080,661,0.10592008006596314,0.00962909818781483,0.0,0.0,0.0,0.0028745576256981034,0.0015762641205238634
1080,663,0.06841687600821185,0.0,0.0,0.0,0.0,0.0007064512788405483,0.0008766727129476093
1080,710,0.12971861532874174,0.009978355025287829,0.0,0.0,0.0,0.0003030296459704263,0.0
1080,1079,0.2374079603230813,0.008792887419373379,0.0,0.0,0.0,0.030049840977963625,0.0037493112795817757
1080,1080,0.4431803156583439,0.08522698378045074,0.011363597837393428,0.0,0.0,0.5381540111262488,0.01207509159756348
1080,1081,0.7193042254358215,0.03196907668603652,0.00799226917150913,0.023976807514527392,0.0,0.18063274910546895,0.016124872086636738
1080,1084,0.09657390731460737,0.008779446119509763,0.0,0.0,0.0,0.013174848497322223,0.0014717980685606446
1080,1085,0.2085611536472534,0.009480052438511516,0.0,0.0,0.0,0.010369229427998491,0.0015895644862365787
1080,1088,0.17767076030018322,0.009870597794454624,0.0,0.0,0.0,0.0015305233712018713,0.0009281185341603143
1080,1126,0.2783754000344047,0.019883957145314636,0.009941978572657316,0.0,0.0,0.0,0.0017986642476234274
1080,1127,0.3676627465776977,0.02981049296575925,0.009936830988586422,0.0,0.0,0.0,0.0025899294679568863
1080,1128,0.04963112530439031,0.0,0.0,0.0,0.0,4.393187849624141e-05,0.0003249428171134239
1080,1132,0.4665770281885701,0.029781512437568287,0.009927170812522769,0.0,0.0,0.0,0.00371428856133893
1080,1133,0.03965513663490755,0.0,0.0,0.0,0.0,4.0302353393248436e-05,0.0003045610116991948
1081,649,0.08792112996151727,0.009769014440168587,0.0,0.0,0.0,0.0010034411129077824,0.0013064144854064196
1081,652,0.6031393459065073,0.029184161898701967,0.009728053966233987,0.0,0.0,0.008980264271248952,0.00896817395730762
1081,658,0.11762987414750635,0.0098024895122922,0.0,0.0,0.0,0.0016955232830378627,0.0008721130571636272
1081,660,0.04475311687436071,0.0,0.0,0.0,0.0,0.0046531283513159645,0.0005937547743233348
1081,661,0.09657421663952308,0.009657421663952307,0.0,0.0,0.0,0.002393302455968394,0.0013750592405562196
1081,663,0.068526039140425,0.0,0.0,0.0,0.0,0.0006407876824689389,0.0008331731771060798
1081,710,0.13965693918318148,0.009975495655941531,0.0,0.0,0.0,0.00036756516087699264,0.0
1081,1079,0.21819985038222672,0.009091660432592779,0.0,0.0,0.0,0.019639169624639657,0.003069319560540823
1081,1080,0.6713506104067668,0.03196907668603652,0.00799226917150913,0.0239768075145274,0.0,0.16957360120105242,0.015137635020107957
1081,1081,0.4380963089741147,0.08534343681313927,0.011379124908418562,0.0,0.0,0.5332168183636226,0.01196431094070505
1081,1084,0.10376051534442417,0.00864670961203535,0.0,0.0,0.0,0.0159184933061802,0.0016742817373603875
1081,1085,0.21664864005073453,0.009419506089162376,0.0,0.0,0.0,0.012174685407477272,0.0017571684526258775
1081,1088,0.1875075171341845,0.00986881669127287,0.0,0.0,0.0,0.0018240992040832434,0.0007995669704593838
1081,1126,0.2387643881212372,0.019897032343436438,0.009948516171718215,0.0,0.0,0.0,0.0013900633636082516
1081,1127,0.3082623050619493,0.019887890649158024,0.009943945324579012,0.0,0.0,0.0,0.0019058589643136672
1081,1128,0.049714249041971616,0.0,0.0,0.0,0.0,0.0,0.000285750958028394
1081,1132,0.3874792754774192,0.029806098113647612,0.009935366037882542,0.0,0.0,0.0,0.0027792603710508623
1081,1133,0.03970105635753335,0.0,0.0,0.0,0.0,2.8564083268081232e-05,0.0002703795591985571
1084,652,0.0196820608359006,0.0,0.0,0.0,0.0,0.0001463190398970413,0.00017162012420235206
1084,658,0.009764608538253313,0.0,0.0,0.0,0.0,0.00017556345811639332,5.982800363029416e-05
1084,710,0.009946336678111976,0.0,0.0,0.0,0.0,5.366332188802732e-05,0.0
1084,1079,0.009401191508556998,0.0,0.0,0.0,0.0,0.0004812489252990507,0.00011755956614394942
1084,1080,0.026338338358529282,0.0,0.0,0.0,0.0,0.0032937121243305557,0.00036794951714016116
1084,1081,0.025940128836106024,0.0,0.0,0.0,0.0,0.003673498455272354,0.00038637270862162737
1084,1084,0.0049520265805154855,0.0,0.0,0.0,0.0,0.004937192762626136,0.00011078065685837976
1084,1085,0.008841705109532694,0.0,0.0,0.0,0.0,0.001045827844765718,0.00011246704570159009
1084,1088,0.00974486425049906,0.0,0.0,0.0,0.0,0.00019780395415777295,5.733179534316758e-05
1084,1126,0.009952307237274088,0.0,0.0,0.0,0.0,0.0,4.7692762725912157e-05
1084,1127,0.01,0.0,0.0,0.0,0.0,0.0,0.0
1084,1132,0.019891574159918702,0.0,0.0,0.0,0.0,0.0,0.0001084258400812846
1085,649,0.019870893320654903,0.0,0.0,0.0,0.0,4.166996930432164e-05,8.743671004077072e-05
1085,652,0.10919443224051037,0.00992676656731913,0.0,0.0,0.0,0.0003367673430324229,0.0005420338491381187
1085,658,0.056662512649203474,0.0,0.0,0.0,0.0,0.0026676144897185136,0.0006698728610780243
1085,660,0.00974381153806655,0.0,0.0,0.0,0.0,0.00020890951182391166,4.727895010953216e-05
1085,661,0.019811821655501004,0.0,0.0,0.0,0.0,9.1123998131378e-05,9.7054346367611e-05
1085,663,0.009933454557448216,0.0,0.0,0.0,0.0,1.877502564423946e-05,4.777041690754167e-05
1085,710,0.06870816289092434,0.0,0.0,0.0,0.0,0.0009610096269182627,0.00033082748215740624
1085,1079,0.038927091798570526,0.0,0.0,0.0,0.0,0.0007577910548900588,0.0003151171465393952
1085,1080,0.15168083901618432,0.00948005243851152,0.0,0.0,0.0,0.007664213055477164,0.0011748954898270388
1085,1081,0.16955110960492253,0.009419506089162364,0.0,0.0,0.0,0.009638292614252813,0.0013910916916621515
1085,1084,0.035366820438130754,0.0,0.0,0.0,0.0,0.0041833113790628726,0.00044986818280636035
1085,1085,0.033956753694963315,0.005659458949160557,0.0,0.0,0.0,0.039497542101009066,0.0008862452548670381
1085,1088,0.0751524899345576,0.0,0.0,0.0,0.0,0.0039943903028370545,0.0008531197626053316
1085,1126,0.06883013766323268,0.00983287680903324,0.0,0.0,0.0,0.0,0.0013369855277340914
